collected_utc,source,published,title,link,words,file
2026-09-18 12:02:17 UTC,Geo,"Fri, 18 Sep 2026 16:53:00 +05:00",UK's Lambeth Palace withdraws Tahir Ashrafi award on same day over past bin Laden remarks,https://www.geo.tv/latest/682605-uks-lambeth-palace-withdraws-tahir-ashrafi-award-on-same-day-over-past-bin-laden-remarks,587,data/articles/2026-09-18/geo-uks-lambeth-palace-withdraws-tahir-ashrafi-ff41512c.md
2026-09-18 12:02:17 UTC,Geo,"Fri, 18 Sep 2026 13:54:00 +05:00",Five cops among 16 people martyred in Kohat suicide blast: police,https://www.geo.tv/latest/682600-several-injured-in-explosion-near-kohat-police-line-say-police,552,data/articles/2026-09-18/geo-five-cops-among-16-people-martyred-b5198c2e.md
2026-09-18 12:02:17 UTC,Geo,"Fri, 18 Sep 2026 13:26:00 +05:00","JI's long march to reach Islamabad on Sept 23-24, says Hafiz Naeem",https://www.geo.tv/latest/682594-jis-long-march-to-reach-islamabad-on-sept-23-24-says-hafiz-naeem,397,data/articles/2026-09-18/geo-jis-long-march-to-reach-islamabad-e3a5aa8f.md
2026-09-18 12:02:17 UTC,Geo,"Fri, 18 Sep 2026 11:28:09 +05:00",Govt finalises plan for specialised recruitment under civil service reforms,https://www.geo.tv/latest/682578-govt-finalises-plan-for-specialised-recruitment-under-civil-service-reforms,468,data/articles/2026-09-18/geo-govt-finalises-plan-for-specialised-recruitment-a8f32d91.md
2026-09-18 12:02:17 UTC,Geo,"Fri, 18 Sep 2026 11:02:00 +05:00",MQM founder Altaf Hussain's London home 'attacked by masked men',https://www.geo.tv/latest/682576-mqm-founder-altaf-hussains-london-home-attacked-by-masked-men,327,data/articles/2026-09-18/geo-mqm-founder-altaf-hussains-london-home-0636108e.md
2026-09-18 17:01:28 UTC,Dawn,"Fri, 18 Sep 2026 21:45:39 +0500","15 cops among 21 martyred in blast at Kohat Police Lines, more than 80 injured",https://www.dawn.com/news/2030862/15-cops-among-21-martyred-in-blast-at-kohat-police-lines-more-than-80-injured,937,data/articles/2026-09-18/dawn-15-cops-among-21-martyred-in-b8f232a9.md
2026-09-18 17:01:28 UTC,Dawn,"Fri, 18 Sep 2026 20:19:15 +0500","Govt to stop anyone marching on Islamabad 'in every possible way', says Naqvi",https://www.dawn.com/news/2030889/govt-to-stop-anyone-marching-on-islamabad-in-every-possible-way-says-naqvi,724,data/articles/2026-09-18/dawn-govt-to-stop-anyone-marching-on-5a49a3fe.md
2026-09-18 17:01:28 UTC,Dawn,"Fri, 18 Sep 2026 19:32:45 +0500",IHC rules infringement of fundamental rights breaches Constitution ahead of PTI’s Sept 27 protest,https://www.dawn.com/news/2030891/ihc-rules-infringement-of-fundamental-rights-breaches-constitution-ahead-of-ptis-sept-27-protest,1069,data/articles/2026-09-18/dawn-ihc-rules-infringement-of-fundamental-rights-a521ae4b.md
2026-09-18 17:01:28 UTC,Dawn,"Fri, 18 Sep 2026 20:01:13 +0500","Lawyers’ body to boycott Islamabad court proceedings on Saturday in protest against Imaan, Hadi’s rearrest",https://www.dawn.com/news/2030882/lawyers-body-to-boycott-islamabad-court-proceedings-on-saturday-in-protest-against-imaan-hadis-rearrest,479,data/articles/2026-09-18/dawn-lawyers-body-to-boycott-islamabad-court-b6b03c50.md
2026-09-18 17:01:28 UTC,Dawn,"Fri, 18 Sep 2026 20:35:58 +0500","Karachi police claim to unearth international meth supply network, arrest two",https://www.dawn.com/news/2030905/karachi-police-claim-to-unearth-international-meth-supply-network-arrest-two,434,data/articles/2026-09-18/dawn-karachi-police-claim-to-unearth-international-1e91df71.md
2026-09-18 17:01:28 UTC,Dawn,"Fri, 18 Sep 2026 20:57:26 +0500",Supreme Court admonishes Sindh police over delays in filing FIRs,https://www.dawn.com/news/2030908/supreme-court-admonishes-sindh-police-over-delays-in-filing-firs,903,data/articles/2026-09-18/dawn-supreme-court-admonishes-sindh-police-over-6067ac1c.md
2026-09-18 17:01:28 UTC,Dawn,"Fri, 18 Sep 2026 18:37:19 +0500",'Petrol so expensive' that PTI lawmakers arrive at Sindh Assembly on donkey carts in protest,https://www.dawn.com/news/2030879/petrol-so-expensive-that-pti-lawmakers-arrive-at-sindh-assembly-on-donkey-carts-in-protest,442,data/articles/2026-09-18/dawn-petrol-so-expensive-that-pti-lawmakers-d4b786cc.md
2026-09-18 17:01:28 UTC,Dawn,"Fri, 18 Sep 2026 17:17:12 +0500","PM Shehbaz directs inclusion of 20-year-old bikes, rickshaws in fuel relief scheme",https://www.dawn.com/news/2030874/pm-shehbaz-directs-inclusion-of-20-year-old-bikes-rickshaws-in-fuel-relief-scheme,374,data/articles/2026-09-18/dawn-pm-shehbaz-directs-inclusion-of-20-year-old-5c226f86.md
2026-09-18 17:01:28 UTC,Dawn,"Fri, 18 Sep 2026 19:54:48 +0500",Researchers used Claude to breach OpenAI's internal systems,https://www.dawn.com/news/2030904/researchers-used-claude-to-breach-openais-internal-systems,303,data/articles/2026-09-18/dawn-researchers-used-claude-to-breach-openais-801fa0a7.md
2026-09-18 17:01:28 UTC,Dawn,"Fri, 18 Sep 2026 17:55:54 +0500","Lahore ATC disposes of petition by PTI leader Hammad Azhar’s mother, wife seeking permission to meet him",https://www.dawn.com/news/2030880/lahore-atc-disposes-of-petition-by-pti-leader-hammad-azhars-mother-wife-seeking-permission-to-meet-him,327,data/articles/2026-09-18/dawn-lahore-atc-disposes-of-petition-by-213f06c2.md
